"Plot","Nutrient","Extract","Type","Year","val","Biomass","val.g"
29,"Magnesium","ad","p.Abv",2017,0.0036,52.53,0.19
29,"Calcium","ad","p.Abv",2017,0.0084,52.53,0.44
29,"Nitrogen","ad","p.Root0.30cm",2017,0.0105,307.96,3.23
29,"Phosphorus","ad","p.Root0.30cm",2017,0.0014,307.96,0.43
29,"Potassium","ad","p.Root0.30cm",2017,0.0022,307.96,0.68
29,"Magnesium","ad","p.Root0.30cm",2017,0.0016,307.96,0.49
29,"Calcium","ad","p.Root0.30cm",2017,0.0089,307.96,2.74
30,"Nitrogen","ad","p.Abv",2017,0.0105,281.98,2.96
30,"Phosphorus","ad","p.Abv",2017,0.0018,281.98,0.51
30,"Potassium","ad","p.Abv",2017,0.0121,281.98,3.41
30,"Magnesium","ad","p.Abv",2017,0.0021,281.98,0.59
30,"Calcium","ad","p.Abv",2017,0.0096,281.98,2.71
30,"Nitrogen","ad","p.Root0.30cm",2017,0.0056,1367.14,7.66
30,"Phosphorus","ad","p.Root0.30cm",2017,0.0012,1367.14,1.64
30,"Potassium","ad","p.Root0.30cm",2017,0.0033,1367.14,4.51
30,"Magnesium","ad","p.Root0.30cm",2017,0.0013,1367.14,1.78
30,"Calcium","ad","p.Root0.30cm",2017,0.005,1367.14,6.84
31,"Nitrogen","ad","p.Abv",2017,0.0088,41.21,0.36
31,"Phosphorus","ad","p.Abv",2017,0.002,41.21,0.08
31,"Potassium","ad","p.Abv",2017,0.0085,41.21,0.35
31,"Magnesium","ad","p.Abv",2017,0.0014,41.21,0.06
31,"Calcium","ad","p.Abv",2017,0.0072,41.21,0.3
31,"Nitrogen","ad","p.Root0.30cm",2017,0.0059,950.88,5.61
31,"Phosphorus","ad","p.Root0.30cm",2017,0.0012,950.88,1.14
31,"Potassium","ad","p.Root0.30cm",2017,0.0017,950.88,1.62
31,"Magnesium","ad","p.Root0.30cm",2017,0.0014,950.88,1.33
31,"Calcium","ad","p.Root0.30cm",2017,0.0058,950.88,5.52
33,"Nitrogen","ad","p.Abv",2017,0.0116,189.81,2.2
33,"Phosphorus","ad","p.Abv",2017,0.0018,189.81,0.34
33,"Potassium","ad","p.Abv",2017,0.0111,189.81,2.11
33,"Magnesium","ad","p.Abv",2017,0.0027,189.81,0.51
33,"Calcium","ad","p.Abv",2017,0.0101,189.81,1.92
33,"Nitrogen","ad","p.Root0.30cm",2017,0.0046,1121.05,5.16
33,"Phosphorus","ad","p.Root0.30cm",2017,0.0011,1121.05,1.23
33,"Potassium","ad","p.Root0.30cm",2017,0.0032,1121.05,3.59
33,"Magnesium","ad","p.Root0.30cm",2017,0.0012,1121.05,1.35
33,"Calcium","ad","p.Root0.30cm",2017,0.0055,1121.05,6.17
34,"Nitrogen","ad","p.Abv",2017,0.0101,257.97,2.61
34,"Phosphorus","ad","p.Abv",2017,0.0019,257.97,0.49
34,"Potassium","ad","p.Abv",2017,0.0114,257.97,2.94
34,"Magnesium","ad","p.Abv",2017,0.0018,257.97,0.46
34,"Calcium","ad","p.Abv",2017,0.0073,257.97,1.88
34,"Nitrogen","ad","p.Root0.30cm",2017,0.0059,1100.83,6.49
34,"Phosphorus","ad","p.Root0.30cm",2017,0.0012,1100.83,1.32
34,"Potassium","ad","p.Root0.30cm",2017,0.0037,1100.83,4.07
34,"Magnesium","ad","p.Root0.30cm",2017,0.0013,1100.83,1.43
34,"Calcium","ad","p.Root0.30cm",2017,0.0055,1100.83,6.05
35,"Nitrogen","ad","p.Abv",2017,0.0113,209.18,2.36
35,"Phosphorus","ad","p.Abv",2017,0.0017,209.18,0.36
35,"Potassium","ad","p.Abv",2017,0.012,209.18,2.51
35,"Magnesium","ad","p.Abv",2017,0.0027,209.18,0.56
35,"Calcium","ad","p.Abv",2017,0.0111,209.18,2.32
35,"Nitrogen","ad","p.Root0.30cm",2017,0.0076,1158.44,8.8
35,"Phosphorus","ad","p.Root0.30cm",2017,0.0012,1158.44,1.39
35,"Potassium","ad","p.Root0.30cm",2017,0.004,1158.44,4.63
35,"Magnesium","ad","p.Root0.30cm",2017,0.0013,1158.44,1.51
35,"Calcium","ad","p.Root0.30cm",2017,0.0117,1158.44,13.55
44,"Nitrogen","ad","p.Abv",2017,0.0109,214.51,2.34
44,"Phosphorus","ad","p.Abv",2017,0.0021,214.51,0.45
44,"Potassium","ad","p.Abv",2017,0.0071,214.51,1.52
44,"Magnesium","ad","p.Abv",2017,0.0027,214.51,0.58
44,"Calcium","ad","p.Abv",2017,0.009,214.51,1.93
44,"Nitrogen","ad","p.Root0.30cm",2017,0.0066,926.64,6.12
44,"Phosphorus","ad","p.Root0.30cm",2017,0.0012,926.64,1.11
44,"Potassium","ad","p.Root0.30cm",2017,0.0036,926.64,3.34
44,"Magnesium","ad","p.Root0.30cm",2017,0.0013,926.64,1.2
44,"Calcium","ad","p.Root0.30cm",2017,0.0066,926.64,6.12
45,"Nitrogen","ad","p.Abv",2017,0.0098,189.05,1.85
45,"Phosphorus","ad","p.Abv",2017,0.0014,189.05,0.26
45,"Potassium","ad","p.Abv",2017,0.0107,189.05,2.02
45,"Magnesium","ad","p.Abv",2017,0.0037,189.05,0.7
45,"Calcium","ad","p.Abv",2017,0.0118,189.05,2.23
45,"Nitrogen","ad","p.Root0.30cm",2017,0.005,1069.12,5.35
45,"Phosphorus","ad","p.Root0.30cm",2017,0.0012,1069.12,1.28
45,"Potassium","ad","p.Root0.30cm",2017,0.005,1069.12,5.35
45,"Magnesium","ad","p.Root0.30cm",2017,0.0017,1069.12,1.82
45,"Calcium","ad","p.Root0.30cm",2017,0.008,1069.12,8.55
46,"Nitrogen","ad","p.Abv",2017,0.0103,326.02,3.36
46,"Phosphorus","ad","p.Abv",2017,0.0021,326.02,0.68
46,"Potassium","ad","p.Abv",2017,0.0114,326.02,3.72
46,"Magnesium","ad","p.Abv",2017,0.0019,326.02,0.62
46,"Calcium","ad","p.Abv",2017,0.0086,326.02,2.8
46,"Nitrogen","ad","p.Root0.30cm",2017,0.0065,1146.96,7.46
46,"Phosphorus","ad","p.Root0.30cm",2017,0.0012,1146.96,1.38
46,"Potassium","ad","p.Root0.30cm",2017,0.0033,1146.96,3.78
46,"Magnesium","ad","p.Root0.30cm",2017,0.0013,1146.96,1.49
46,"Calcium","ad","p.Root0.30cm",2017,0.0067,1146.96,7.68
48,"Nitrogen","ad","p.Abv",2017,0.0171,147.82,2.53
48,"Phosphorus","ad","p.Abv",2017,0.0022,147.82,0.33
48,"Potassium","ad","p.Abv",2017,0.0067,147.82,0.99
48,"Magnesium","ad","p.Abv",2017,0.002,147.82,0.3
48,"Calcium","ad","p.Abv",2017,0.0088,147.82,1.3
48,"Nitrogen","ad","p.Root0.30cm",2017,0.0122,432.97,5.28
48,"Phosphorus","ad","p.Root0.30cm",2017,0.0022,432.97,0.95
48,"Potassium","ad","p.Root0.30cm",2017,0.0029,432.97,1.26
48,"Magnesium","ad","p.Root0.30cm",2017,0.0016,432.97,0.69
48,"Calcium","ad","p.Root0.30cm",2017,0.0086,432.97,3.72
50,"Nitrogen","ad","p.Abv",2017,0.0136,172.92,2.35
50,"Phosphorus","ad","p.Abv",2017,0.0026,172.92,0.45
50,"Potassium","ad","p.Abv",2017,0.0083,172.92,1.44
50,"Magnesium","ad","p.Abv",2017,0.0025,172.92,0.43
50,"Calcium","ad","p.Abv",2017,0.0087,172.92,1.5
50,"Nitrogen","ad","p.Root0.30cm",2017,0.0124,619.62,7.68
50,"Phosphorus","ad","p.Root0.30cm",2017,0.002,619.62,1.24
50,"Potassium","ad","p.Root0.30cm",2017,0.0029,619.62,1.8
50,"Magnesium","ad","p.Root0.30cm",2017,0.0018,619.62,1.12
50,"Calcium","ad","p.Root0.30cm",2017,0.0162,619.62,10.04
53,"Nitrogen","ad","p.Abv",2017,0.0102,133.67,1.36
53,"Phosphorus","ad","p.Abv",2017,0.0018,133.67,0.24
53,"Potassium","ad","p.Abv",2017,0.008,133.67,1.07
53,"Magnesium","ad","p.Abv",2017,0.0022,133.67,0.29
53,"Calcium","ad","p.Abv",2017,0.0076,133.67,1.02
53,"Nitrogen","ad","p.Root0.30cm",2017,0.0084,577.62,4.85
53,"Phosphorus","ad","p.Root0.30cm",2017,0.0013,577.62,0.75
53,"Potassium","ad","p.Root0.30cm",2017,0.0027,577.62,1.56
53,"Magnesium","ad","p.Root0.30cm",2017,0.0012,577.62,0.69
53,"Calcium","ad","p.Root0.30cm",2017,0.0087,577.62,5.03
56,"Nitrogen","ad","p.Abv",2017,0.0094,162.46,1.53
56,"Phosphorus","ad","p.Abv",2017,0.0021,162.46,0.34
56,"Potassium","ad","p.Abv",2017,0.0089,162.46,1.45
56,"Magnesium","ad","p.Abv",2017,0.0022,162.46,0.36
56,"Calcium","ad","p.Abv",2017,0.0066,162.46,1.07
56,"Nitrogen","ad","p.Root0.30cm",2017,0.0081,1090.93,8.84
56,"Phosphorus","ad","p.Root0.30cm",2017,0.0013,1090.93,1.42
56,"Potassium","ad","p.Root0.30cm",2017,0.0035,1090.93,3.82
56,"Magnesium","ad","p.Root0.30cm",2017,0.0016,1090.93,1.75
56,"Calcium","ad","p.Root0.30cm",2017,0.0077,1090.93,8.4
57,"Nitrogen","ad","p.Abv",2017,0.0123,303.71,3.74
57,"Phosphorus","ad","p.Abv",2017,0.0019,303.71,0.58
57,"Potassium","ad","p.Abv",2017,0.0085,303.71,2.58
57,"Magnesium","ad","p.Abv",2017,0.0025,303.71,0.76
57,"Calcium","ad","p.Abv",2017,0.0082,303.71,2.49
57,"Nitrogen","ad","p.Root0.30cm",2017,0.0086,1097.27,9.44
57,"Phosphorus","ad","p.Root0.30cm",2017,0.0014,1097.27,1.54
57,"Potassium","ad","p.Root0.30cm",2017,0.0036,1097.27,3.95
57,"Magnesium","ad","p.Root0.30cm",2017,0.0016,1097.27,1.76
57,"Calcium","ad","p.Root0.30cm",2017,0.0136,1097.27,14.92
58,"Nitrogen","ad","p.Abv",2017,0.0081,148.11,1.2
58,"Phosphorus","ad","p.Abv",2017,0.0016,148.11,0.24
58,"Potassium","ad","p.Abv",2017,0.0142,148.11,2.1
58,"Magnesium","ad","p.Abv",2017,0.0029,148.11,0.43
58,"Calcium","ad","p.Abv",2017,0.0116,148.11,1.72
58,"Nitrogen","ad","p.Root0.30cm",2017,0.0054,705.72,3.81
58,"Phosphorus","ad","p.Root0.30cm",2017,0.001,705.72,0.71
58,"Potassium","ad","p.Root0.30cm",2017,0.0039,705.72,2.75
58,"Magnesium","ad","p.Root0.30cm",2017,0.0013,705.72,0.92
58,"Calcium","ad","p.Root0.30cm",2017,0.009,705.72,6.35
62,"Nitrogen","ad","p.Abv",2017,0.0143,156.87,2.24
62,"Phosphorus","ad","p.Abv",2017,0.0021,156.87,0.33
62,"Potassium","ad","p.Abv",2017,0.0082,156.87,1.29
62,"Magnesium","ad","p.Abv",2017,0.0025,156.87,0.39
62,"Calcium","ad","p.Abv",2017,0.0087,156.87,1.36
62,"Nitrogen","ad","p.Root0.30cm",2017,0.0107,522.73,5.59
62,"Phosphorus","ad","p.Root0.30cm",2017,0.0017,522.73,0.89
62,"Potassium","ad","p.Root0.30cm",2017,0.0033,522.73,1.73
62,"Magnesium","ad","p.Root0.30cm",2017,0.0018,522.73,0.94
62,"Calcium","ad","p.Root0.30cm",2017,0.012,522.73,6.27
67,"Nitrogen","ad","p.Abv",2017,0.0096,340.9,3.27
67,"Phosphorus","ad","p.Abv",2017,0.0018,340.9,0.61
67,"Potassium","ad","p.Abv",2017,0.0138,340.9,4.7
67,"Magnesium","ad","p.Abv",2017,0.0024,340.9,0.82
67,"Calcium","ad","p.Abv",2017,0.0108,340.9,3.68
67,"Nitrogen","ad","p.Root0.30cm",2017,0.0073,1303.17,9.51
67,"Phosphorus","ad","p.Root0.30cm",2017,0.0014,1303.17,1.82
67,"Potassium","ad","p.Root0.30cm",2017,0.0046,1303.17,5.99
67,"Magnesium","ad","p.Root0.30cm",2017,0.0018,1303.17,2.35
67,"Calcium","ad","p.Root0.30cm",2017,0.0113,1303.17,14.73
68,"Nitrogen","ad","p.Abv",2017,0.0091,321.18,2.92
68,"Phosphorus","ad","p.Abv",2017,0.0017,321.18,0.55
68,"Potassium","ad","p.Abv",2017,0.014,321.18,4.5
68,"Magnesium","ad","p.Abv",2017,0.0024,321.18,0.77
68,"Calcium","ad","p.Abv",2017,0.0102,321.18,3.28
68,"Nitrogen","ad","p.Root0.30cm",2017,0.0079,926.7,7.32
68,"Phosphorus","ad","p.Root0.30cm",2017,0.0014,926.7,1.3
68,"Potassium","ad","p.Root0.30cm",2017,0.0043,926.7,3.98
68,"Magnesium","ad","p.Root0.30cm",2017,0.0012,926.7,1.11
68,"Calcium","ad","p.Root0.30cm",2017,0.0073,926.7,6.76
69,"Nitrogen","ad","p.Abv",2017,0.0148,54.56,0.81
69,"Phosphorus","ad","p.Abv",2017,0.0027,54.56,0.15
69,"Potassium","ad","p.Abv",2017,0.0097,54.56,0.53
69,"Magnesium","ad","p.Abv",2017,0.0022,54.56,0.12
69,"Calcium","ad","p.Abv",2017,0.0051,54.56,0.28
69,"Nitrogen","ad","p.Root0.30cm",2017,0.01,391.41,3.91
69,"Phosphorus","ad","p.Root0.30cm",2017,0.0014,391.41,0.55
69,"Potassium","ad","p.Root0.30cm",2017,0.002,391.41,0.78
69,"Magnesium","ad","p.Root0.30cm",2017,0.0014,391.41,0.55
69,"Calcium","ad","p.Root0.30cm",2017,0.0061,391.41,2.39
70,"Nitrogen","ad","p.Abv",2017,0.0092,257.02,2.36
70,"Phosphorus","ad","p.Abv",2017,0.0021,257.02,0.54
70,"Potassium","ad","p.Abv",2017,0.0093,257.02,2.39
70,"Magnesium","ad","p.Abv",2017,0.0018,257.02,0.46
70,"Calcium","ad","p.Abv",2017,0.0079,257.02,2.03
70,"Nitrogen","ad","p.Root0.30cm",2017,0.004,1264.04,5.06
70,"Phosphorus","ad","p.Root0.30cm",2017,0.001,1264.04,1.26
70,"Potassium","ad","p.Root0.30cm",2017,0.0035,1264.04,4.42
70,"Magnesium","ad","p.Root0.30cm",2017,9e-04,1264.04,1.14
70,"Calcium","ad","p.Root0.30cm",2017,0.0052,1264.04,6.57
74,"Nitrogen","ad","p.Abv",2017,0.0109,253.3,2.76
74,"Phosphorus","ad","p.Abv",2017,0.0016,253.3,0.41
74,"Potassium","ad","p.Abv",2017,0.0081,253.3,2.05
74,"Magnesium","ad","p.Abv",2017,0.0022,253.3,0.56
74,"Calcium","ad","p.Abv",2017,0.0079,253.3,2
74,"Nitrogen","ad","p.Root0.30cm",2017,0.0072,1005.7,7.24
74,"Phosphorus","ad","p.Root0.30cm",2017,0.0012,1005.7,1.21
74,"Potassium","ad","p.Root0.30cm",2017,0.0031,1005.7,3.12
74,"Magnesium","ad","p.Root0.30cm",2017,0.0015,1005.7,1.51
74,"Calcium","ad","p.Root0.30cm",2017,0.0155,1005.7,15.59
75,"Nitrogen","ad","p.Abv",2017,0.0089,124.03,1.1
75,"Phosphorus","ad","p.Abv",2017,0.0015,124.03,0.19
75,"Potassium","ad","p.Abv",2017,0.0055,124.03,0.68
75,"Magnesium","ad","p.Abv",2017,0.0027,124.03,0.33
75,"Calcium","ad","p.Abv",2017,0.0053,124.03,0.66
75,"Nitrogen","ad","p.Root0.30cm",2017,0.0044,737.86,3.25
75,"Phosphorus","ad","p.Root0.30cm",2017,0.0011,737.86,0.81
75,"Potassium","ad","p.Root0.30cm",2017,0.0037,737.86,2.73
75,"Magnesium","ad","p.Root0.30cm",2017,0.0015,737.86,1.11
75,"Calcium","ad","p.Root0.30cm",2017,0.0052,737.86,3.84
81,"Nitrogen","ad","p.Abv",2017,0.0105,240.04,2.52
81,"Phosphorus","ad","p.Abv",2017,0.0012,240.04,0.29
81,"Potassium","ad","p.Abv",2017,0.0096,240.04,2.3
81,"Magnesium","ad","p.Abv",2017,0.0029,240.04,0.7
81,"Calcium","ad","p.Abv",2017,0.0111,240.04,2.66
81,"Nitrogen","ad","p.Root0.30cm",2017,0.008,1004.29,8.03
